VPN,BARCODE,MARIA TASH,DEPT,WCID,ITEM_DESC
CET2C8D-WG-R,2201100611914,194515011481,6321,6321x506080xcet2c8dwgr,"5/16"" Diamond Eternity with Two Chains"
CET2C8D-YG-R,2201100611938,194515011504,6321,6321x506080xcet2c8dygr,"5/16"" Diamond Eternity with Two Chains"
CET2C8D-RG-L,2201100611945,194515011450,6321,6321x506080xcet2c8drgl,"5/16"" Diamond Eternity with Two Chains"
CET2C8D-RG-R,2201100611952,194515011467,6321,6321x506080xcet2c8drgr,"5/16"" Diamond Eternity with Two Chains"
CR3C65-WG-L,2201100611969,194515028694,6321,6321x506080xcr3c65wgl,"1/4"" Plain Ring with 3-Chain"
CR3C65-WG-R,2201100611976,194515028700,6321,6321x506080xcr3c65wgr,"1/4"" Plain Ring with 3-Chain"
CR3C65-YG-L,2201100611983,194515028717,6321,6321x506080xcr3c65ygl,"1/4"" Plain Ring with 3-Chain"
CR3C65-YG-R,2201100611990,194515028724,6321,6321x506080xcr3c65ygr,"1/4"" Plain Ring with 3-Chain"
CR3C65-RG-L,2201100612003,194515028670,6321,6321x506080xcr3c65rgl,"1/4"" Plain Ring with 3-Chain"
CR3C65-RG-R,2201100612010,194515028687,6321,6321x506080xcr3c65rgr,"1/4"" Plain Ring with 3-Chain"
CR3C8-WG-L,2201100612027,194515028779,6321,6321x506080xcr3c8wgl,"5/16"" Plain Ring with 3-Chain"
CR3C8-WG-R,2201100612034,194515028786,6321,6321x506080xcr3c8wgr,"5/16"" Plain Ring with 3-Chain"
CR3C8-YG-L,2201100612041,194515028793,6321,6321x506080xcr3c8ygl,"5/16"" Plain Ring with 3-Chain"
CR3C8-YG-R,2201100612058,194515028809,6321,6321x506080xcr3c8ygr,"5/16"" Plain Ring with 3-Chain"
CR3C8-RG-L,2201100612065,194515028755,6321,6321x506080xcr3c8rgl,"5/16"" Plain Ring with 3-Chain"
CR3C8-RG-R,2201100612072,194515028762,6321,6321x506080xcr3c8rgr,"5/16"" Plain Ring with 3-Chain"
E2OP-WG,2201100612089,194515035623,6321,6321x506080xe2opwg,2mm Opal Traditional Stud
E2OP-YG,2201100612096,194515035630,6321,6321x506080xe2opyg,2mm Opal Traditional Stud
E2OP-RG,2201100612102,194515035616,6321,6321x506080xe2oprg,2mm Opal Traditional Stud
E2TND-WG,2201100612119,194515035661,6321,6321x506080xe2tndwg,Long Talon with Petite Diamonds Stud
E2TND-YG,2201100612126,194515035678,6321,6321x506080xe2tndyg,Long Talon with Petite Diamonds Stud
E2TND-RG,2201100612133,194515035654,6321,6321x506080xe2tndrg,Long Talon with Petite Diamonds Stud
E3BTR-WG,2201100612140,194515035739,6321,6321x506080xe3btrwg,Three Ball Trinity Stud
E3BTR-YG,2201100612157,194515035746,6321,6321x506080xe3btryg,Three Ball Trinity Stud
E3BTR-RG,2201100612164,194515035722,6321,6321x506080xe3btrrg,Three Ball Trinity Stud
E3DTRD-WG,2201100612171,194515119279,6321,6321x506080xe3dtrdwg,Diamond Trinity Stud
E3DTRD-YG,2201100612188,194515119286,6321,6321x506080xe3dtrdyg,Diamond Trinity Stud
E3DTRD-RG,2201100612195,194515119262,6321,6321x506080xe3dtrdrg,Diamond Trinity Stud
E3OP-WG,2201100612201,194515119590,6321,6321x506080xe3opwg,3mm Opal Traditional Stud
E3OP-YG,2201100612218,194515119606,6321,6321x506080xe3opyg,3mm Opal Traditional Stud
E3OP-RG,2201100612225,194515119583,6321,6321x506080xe3oprg,3mm Opal Traditional Stud
E4BTR-WG,2201100612232,194515120015,6321,6321x506080xe4btrwg,Four Ball Trinity Traditional Stud
E4BTR-YG,2201100612249,194515120022,6321,6321x506080xe4btryg,Four Ball Trinity Traditional Stud
E4BTR-RG,2201100612256,194515120008,6321,6321x506080xe4btrrg,Four Ball Trinity Traditional Stud
E4BTRD-WG,2201100612263,194515120046,6321,6321x506080xe4btrdwg,Dia Four Ball Trinity Traditional Stud
E4BTRD-YG,2201100612270,194515120053,6321,6321x506080xe4btrdyg,Dia Four Ball Trinity Traditional Stud
E4BTRD-RG,2201100612287,194515120039,6321,6321x506080xe4btrdrg,Dia Four Ball Trinity Traditional Stud
E4BTROP-WG,2201100612294,194515120077,6321,6321x506080xe4btropwg,Opal Four Ball Trinity Traditional Stud
E4BTROP-YG,2201100612300,194515120084,6321,6321x506080xe4btropyg,Opal Four Ball Trinity Traditional Stud
E4BTROP-RG,2201100612317,194515120060,6321,6321x506080xe4btroprg,Opal Four Ball Trinity Traditional Stud
EB2-WG,2201100612324,194515120480,6321,6321x506080xeb2wg,2mm Ball Stud
EB2-YG,2201100612331,194515120497,6321,6321x506080xeb2yg,2mm Ball Stud
EB2-RG,2201100612348,194515120473,6321,6321x506080xeb2rg,2mm Ball Stud
EBAR11-WG,2201100612355,194515120633,6321,6321x506080xebar11wg,11mm Polished Square Bar Stud
EBAR11-YG,2201100612362,194515120640,6321,6321x506080xebar11yg,11mm Polished Square Bar Stud
EBAR11-RG,2201100612379,194515120626,6321,6321x506080xebar11rg,11mm Polished Square Bar Stud
EBAR7-WG,2201100612386,194515120862,6321,6321x506080xebar7wg,7mm Polished Square Bar Stud
EBAR7-YG,2201100612393,194515120879,6321,6321x506080xebar7yg,7mm Polished Square Bar Stud
EBAR7-RG,2201100612409,194515120855,6321,6321x506080xebar7rg,7mm Polished Square Bar Stud
EBAR7M-WG,2201100612416,194515120893,6321,6321x506080xebar7mwg,7mm Matte Square Bar Stud
EBAR7M-YG,2201100612423,194515120909,6321,6321x506080xebar7myg,7mm Matte Square Bar Stud
EBAR7M-RG,2201100612430,194515120886,6321,6321x506080xebar7mrg,7mm Matte Square Bar Stud
EBARR11-WG,2201100612447,194515121005,6321,6321x506080xebarr11wg,11mm Polished Rnd Bar Stud
EBARR11-YG,2201100612454,194515121012,6321,6321x506080xebarr11yg,11mm Polished Rnd Bar Stud
EBARR11-RG,2201100612461,194515120992,6321,6321x506080xebarr11rg,11mm Polished Rnd Bar Stud
EBARR7-WG,2201100612478,194515121111,6321,6321x506080xebarr7wg,7mm Polished Rnd Bar Traditional Stud
EBARR7-YG,2201100612485,194515121128,6321,6321x506080xebarr7yg,7mm Polished Rnd Bar Traditional Stud
EBARR7-RG,2201100612492,194515121104,6321,6321x506080xebarr7rg,7mm Polished Rnd Bar Traditional Stud
EC3FLD-WG,2201100612508,194515122033,6321,6321x506080xec3fldwg,Dia Flower Garland Traditional Ear Stud
EC3FLD-YG,2201100612515,194515122040,6321,6321x506080xec3fldyg,Dia Flower Garland Traditional Ear Stud
EC3FLD-RG,2201100612522,194515122026,6321,6321x506080xec3fldrg,Dia Flower Garland Traditional Ear Stud
EET2C2D65D-WG,2201100612539,194515123221,6321,6321x506080xeet2c2d65dwg,"1/4"" Dia Etrn w/ 2 Rounds and 2 Chains"
EET2C2D65D-YG,2201100612546,194515123238,6321,6321x506080xeet2c2d65dyg,"1/4"" Dia Etrn w/ 2 Rounds and 2 Chains"
EET2C2D65D-RG,2201100612553,194515123214,6321,6321x506080xeet2c2d65drg,"1/4"" Dia Etrn w/ 2 Rounds and 2 Chains"
EET2C2D8D-WG,2201100612560,194515123269,6321,6321x506080xeet2c2d8dwg,"5/16"" Dia Etrn w/ 2 Rounds and 2 Chains"
EET2C2D8D-YG,2201100612577,194515123276,6321,6321x506080xeet2c2d8dyg,"5/16"" Dia Etrn w/ 2 Rounds and 2 Chains"
EET2C2D8D-RG,2201100612584,194515123252,6321,6321x506080xeet2c2d8drg,"5/16"" Dia Etrn w/ 2 Rounds and 2 Chains"
EET2CDBA65D-WG,2201100612591,194515123467,6321,6321x506080xeet2cdba65dwg,"1/4"" Dia Etrn w/ Baguette Dia, 2 Chains"
EET2CDBA65D-YG,2201100612607,194515123474,6321,6321x506080xeet2cdba65dyg,"1/4"" Dia Etrn w/ Baguette Dia, 2 Chains"
EET2CDBA65D-RG,2201100612614,194515123450,6321,6321x506080xeet2cdba65drg,"1/4"" Dia Etrn w/ Baguette Dia, 2 Chains"
EET2CDBA8D-WG,2201100612621,194515123504,6321,6321x506080xeet2cdba8dwg,"5/16"" Dia Etrn w/ Baguette Dia, 2 Chains"
EET2CDBA8D-YG,2201100612638,194515123511,6321,6321x506080xeet2cdba8dyg,"5/16"" Dia Etrn w/ Baguette Dia, 2 Chains"
EET2CDBA8D-RG,2201100612645,194515123498,6321,6321x506080xeet2cdba8drg,"5/16"" Dia Etrn w/ Baguette Dia, 2 Chains"
EFL3D-WG,2201100612652,194515124730,6321,6321x506080xefl3dwg,3mm Diamond Flower Traditional Stud
EFL3D-YG,2201100612669,194515124747,6321,6321x506080xefl3dyg,3mm Diamond Flower Traditional Stud
EFL3D-RG,2201100612676,194515124723,6321,6321x506080xefl3drg,3mm Diamond Flower Traditional Stud
EFL45D-WG,2201100612683,194515124846,6321,6321x506080xefl45dwg,4.5mm Diamond Flower Traditional Stud
EFL45D-YG,2201100612690,194515124853,6321,6321x506080xefl45dyg,4.5mm Diamond Flower Traditional Stud
EFL45D-RG,2201100612706,194515124839,6321,6321x506080xefl45drg,4.5mm Diamond Flower Traditional Stud
EHEART-WG,2201100612713,194515125980,6321,6321x506080xeheartwg,Heart Stud
EHEART-YG,2201100612720,194515125997,6321,6321x506080xeheartyg,Heart Stud
EHEART-RG,2201100612737,194515125973,6321,6321x506080xeheartrg,Heart Stud
EIV25D-WG,2201100612744,194515126093,6321,6321x506080xeiv25dwg,2.5mm Invisible Set Diamond Stud
EIV25D-YG,2201100612751,194515126109,6321,6321x506080xeiv25dyg,2.5mm Invisible Set Diamond Stud
EIV25D-RG,2201100612768,194515126086,6321,6321x506080xeiv25drg,2.5mm Invisible Set Diamond Stud
EIV2D-WG,2201100612775,194515126178,6321,6321x506080xeiv2dwg,2mm Invisible Set Diamond Stud
EIV2D-YG,2201100612782,194515126185,6321,6321x506080xeiv2dyg,2mm Invisible Set Diamond Stud
EIV2D-RG,2201100612799,194515126161,6321,6321x506080xeiv2drg,2mm Invisible Set Diamond Stud
ELB11BKD-WG,2201100612805,194515126581,6321,6321x506080xelb11bkdwg,Blk Dia Lightning Bolt Traditional Stud
ELB11BKD-YG,2201100612812,194515126598,6321,6321x506080xelb11bkdyg,Blk Dia Lightning Bolt Traditional Stud
ELB11BKD-RG,2201100612829,194515126574,6321,6321x506080xelb11bkdrg,Blk Dia Lightning Bolt Traditional Stud
ELB11BKD-BG,2201100612836,194515126567,6321,6321x506080xelb11bkdbg,Blk Dia Lightning Bolt Traditional Stud
ELB11D-WG,2201100612843,194515126628,6321,6321x506080xelb11dwg,Dia Lightning Bolt Traditional Stud
ELB11D-YG,2201100612850,194515126635,6321,6321x506080xelb11dyg,Dia Lightning Bolt Traditional Stud
ELB11D-RG,2201100612867,194515126611,6321,6321x506080xelb11drg,Dia Lightning Bolt Traditional Stud
ELB11D-BG,2201100612874,194515126604,6321,6321x506080xelb11dbg,Dia Lightning Bolt Traditional Stud
EMNPAD-WG,2201100612881,194515126666,6321,6321x506080xemnpadwg,Diamond Moon Stud
EMNPAD-YG,2201100612898,194515126673,6321,6321x506080xemnpadyg,Diamond Moon Stud
EMNPAD-RG,2201100612904,194515126659,6321,6321x506080xemnpadrg,Diamond Moon Stud
