Plu,Sku,Name,Metal,Attribute 2,Post Sku,Metal,Gauge,Gauge,Leanne Notes,5mm,Default,Sku_5mm,6.5mm,Default,Sku_6.5mm,8mm,Default,Sku_8mm,9.5mm,Default,Sku_9.5mm
19193,XBRT3PS,3mm Pink Sapphire Thin Braid Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19194,XBRT3PS,3mm Pink Sapphire Thin Braid Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19195,XBRT3PS,3mm Pink Sapphire Thin Braid Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19199,XBRT3TQ,3mm Natural Turquoise Thin Braid Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19200,XBRT3TQ,3mm Natural Turquoise Thin Braid Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19201,XBRT3TQ,3mm Natural Turquoise Thin Braid Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19202,XBS18DBS,Blue Sapphire and Diamond Broadsword Threaded Combination,Black Gold,,,Black Gold,,,post change NA,,No,,,Yes,,,No,,,No,
19203,XBS18DBS,Blue Sapphire and Diamond Broadsword Threaded Combination,Rose Gold,,,Rose Gold,,,post change NA,,No,,,Yes,,,No,,,No,
19204,XBS18DBS,Blue Sapphire and Diamond Broadsword Threaded Combination,White Gold,,,White Gold,,,post change NA,,No,,,Yes,,,No,,,No,
19205,XBS18DBS,Blue Sapphire and Diamond Broadsword Threaded Combination,Yellow Gold,,,Yellow Gold,,,post change NA,,No,,,Yes,,,No,,,No,
19214,XBY4D,Diamond Butterfly Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19215,XBY4D,Diamond Butterfly Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19216,XBY4D,Diamond Butterfly Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19217,XBYMQCZ,Cubic Zirconia Marquise Butterfly Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19218,XBYMQCZ,Cubic Zirconia Marquise Butterfly Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19219,XBYMQCZ,Cubic Zirconia Marquise Butterfly Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19220,XBYMQD,Diamond Marquise Butterfly Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19221,XBYMQD,Diamond Marquise Butterfly Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19222,XBYMQD,Diamond Marquise Butterfly Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19226,XC3FLD,Three Flower Garland Diamond Stud Earring,Rose Gold,,ZPBF6R0,Rose Gold,19 gauge,19GA=0.9MM,,34830,No,ZPBF6R3|ROSE GOLD,34802,No,ZPBF6R15|ROSE GOLD,34979,Yes,ZPBF6R0|ROSE GOLD,,No,
19227,XC3FLD,Three Flower Garland Diamond Stud Earring,White Gold,,ZPBF6R0,White Gold,19 gauge,19GA=0.9MM,,34829,No,ZPBF6R3|ROSE GOLD,34801,No,ZPBF6R15|WHITE GOLD,34978,Yes,ZPBF6R0|WHITE GOLD,,No,
19228,XC3FLD,Three Flower Garland Diamond Stud Earring,Yellow Gold,,ZPBF6R0,Yellow Gold,19 gauge,19GA=0.9MM,,34829,No,ZPBF6R3|ROSE GOLD,34804,No,ZPBF6R15|YELLOW GOLD,34981,Yes,ZPBF6R0|YELLOW GOLD,,No,
19232,XC3FLOP,Opal and Diamond Three Flower Garland Threaded Stud,Rose Gold,,XTHBF6,Rose Gold,19 gauge,19GA=0.9MM,,21428,No,XTHBF6|ROSE GOLD|19GA=0.9MM|5MM,21429,Yes,XTHBF6|ROSE GOLD|19GA=0.9MM|6.5MM,21430,No,XTHBF6|ROSE GOLD|19GA=0.9MM|8MM,21431,No,XTHBF6|ROSE GOLD|19GA=0.9MM|9.5MM
19233,XC3FLOP,Opal and Diamond Three Flower Garland Threaded Stud,White Gold,,XTHBF6,White Gold,19 gauge,19GA=0.9MM,,21440,No,XTHBF6|WHITE GOLD|19GA=0.9MM|5MM,21441,Yes,XTHBF6|WHITE GOLD|19GA=0.9MM|6.5MM,21442,No,XTHBF6|WHITE GOLD|19GA=0.9MM|8MM,21443,No,XTHBF6|WHITE GOLD|19GA=0.9MM|9.5MM
19234,XC3FLOP,Opal and Diamond Three Flower Garland Threaded Stud,Yellow Gold,,XTHBF6,Yellow Gold,19 gauge,19GA=0.9MM,,21452,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|5MM,21453,Yes,XTHBF6|YELLOW GOLD|19GA=0.9MM|6.5MM,21454,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|8MM,21455,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|9.5MM
19235,XC3STD,Diamond Three Star Garland Threaded Stud,Rose Gold,,XTHBF6,Rose Gold,19 gauge,19GA=0.9MM,,21428,No,XTHBF6|ROSE GOLD|19GA=0.9MM|5MM,21429,Yes,XTHBF6|ROSE GOLD|19GA=0.9MM|6.5MM,21430,No,XTHBF6|ROSE GOLD|19GA=0.9MM|8MM,21431,No,XTHBF6|ROSE GOLD|19GA=0.9MM|9.5MM
19236,XC3STD,Diamond Three Star Garland Threaded Stud,White Gold,,XTHBF6,White Gold,19 gauge,19GA=0.9MM,,21440,No,XTHBF6|WHITE GOLD|19GA=0.9MM|5MM,21441,Yes,XTHBF6|WHITE GOLD|19GA=0.9MM|6.5MM,21442,No,XTHBF6|WHITE GOLD|19GA=0.9MM|8MM,21443,No,XTHBF6|WHITE GOLD|19GA=0.9MM|9.5MM
19237,XC3STD,Diamond Three Star Garland Threaded Stud,Yellow Gold,,XTHBF6,Yellow Gold,19 gauge,19GA=0.9MM,,21452,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|5MM,21453,Yes,XTHBF6|YELLOW GOLD|19GA=0.9MM|6.5MM,21454,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|8MM,21455,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|9.5MM
19244,XCFL5D,Five Flower Garland Diamond Stud Earring,Black Gold,,ZPBF6R0,Black Rhodium,19 gauge,19GA=0.9MM,,34831,No,ZPBF6R3|ROSE GOLD,34803,No,ZPBF6R15|BLACK GOLD,34980,Yes,ZPBF6R0|BLACK GOLD,,No,
19245,XCFL5D,Five Flower Garland Diamond Stud Earring,Rose Gold,,ZPBF6R0,Rose Gold,19 gauge,19GA=0.9MM,,34830,No,ZPBF6R3|ROSE GOLD,34802,No,ZPBF6R15|ROSE GOLD,34979,Yes,ZPBF6R0|ROSE GOLD,,No,
19246,XCFL5D,Five Flower Garland Diamond Stud Earring,White Gold,,ZPBF6R0,White Gold,19 gauge,19GA=0.9MM,,34829,No,ZPBF6R3|ROSE GOLD,34801,No,ZPBF6R15|WHITE GOLD,34978,Yes,ZPBF6R0|WHITE GOLD,,No,
19247,XCFL5D,Five Flower Garland Diamond Stud Earring,Yellow Gold,,ZPBF6R0,Yellow Gold,19 gauge,19GA=0.9MM,,34829,No,ZPBF6R3|ROSE GOLD,34804,No,ZPBF6R15|YELLOW GOLD,34981,Yes,ZPBF6R0|YELLOW GOLD,,No,
19266,XCL3OP,Three Opal Curve Threaded Stud,Rose Gold,,XTHBF6,Rose Gold,19 gauge,19GA=0.9MM,,21428,No,XTHBF6|ROSE GOLD|19GA=0.9MM|5MM,21429,Yes,XTHBF6|ROSE GOLD|19GA=0.9MM|6.5MM,21430,No,XTHBF6|ROSE GOLD|19GA=0.9MM|8MM,21431,No,XTHBF6|ROSE GOLD|19GA=0.9MM|9.5MM
19267,XCL3OP,Three Opal Curve Threaded Stud,White Gold,,XTHBF6,White Gold,19 gauge,19GA=0.9MM,,21440,No,XTHBF6|WHITE GOLD|19GA=0.9MM|5MM,21441,Yes,XTHBF6|WHITE GOLD|19GA=0.9MM|6.5MM,21442,No,XTHBF6|WHITE GOLD|19GA=0.9MM|8MM,21443,No,XTHBF6|WHITE GOLD|19GA=0.9MM|9.5MM
19268,XCL3OP,Three Opal Curve Threaded Stud,Yellow Gold,,XTHBF6,Yellow Gold,19 gauge,19GA=0.9MM,,21452,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|5MM,21453,Yes,XTHBF6|YELLOW GOLD|19GA=0.9MM|6.5MM,21454,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|8MM,21455,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|9.5MM
19269,XCLV55DBS,5.5mm Diamond and Sapphire Clover Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19270,XCLV55DBS,5.5mm Diamond and Sapphire Clover Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19271,XCLV55DPS,5.5mm Diamond and Pink Sapphire Clover Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19272,XCLV55DPS,5.5mm Diamond and Pink Sapphire Clover Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19273,XCLV7DBS,7mm Diamond and Blue Sapphire Clover Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19274,XCLV7DBS,7mm Diamond and Blue Sapphire Clover Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19275,XCLV7DPS,7mm Diamond and Pink Sapphire Clover Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19276,XCLV7DPS,7mm Diamond and Pink Sapphire Clover Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19277,XCLVD,Diamond Lucky Clover Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19278,XCLVD,Diamond Lucky Clover Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19279,XCLVD,Diamond Lucky Clover Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19374,XDAL,Dala Dangle Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19375,XDAL,Dala Dangle Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19376,XDAL,Dala Dangle Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19386,XDELD,Diamond Delia Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19387,XDELD,Diamond Delia Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19388,XDELD,Diamond Delia Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19389,XDELDBS,Blue Sapphire and Diamond Delia Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
34087,XDELDBS,Blue Sapphire and Diamond Delia Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19393,XDELDPS,Pink Sapphire and Diamond Delia Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19394,XDELDPS,Pink Sapphire and Diamond Delia Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19395,XDG5D,Small Diamond Dagger Threaded Stud,Black Gold,,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
19397,XDG5D,Small Diamond Dagger Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19399,XDG5D,Small Diamond Dagger Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19401,XDG5D,Small Diamond Dagger Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19411,XDG65D,Diamond Dagger Threaded Stud,Black Gold,LEFT,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
19413,XDG65D,Diamond Dagger Threaded Stud,Rose Gold,LEFT,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19415,XDG65D,Diamond Dagger Threaded Stud,White Gold,LEFT,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19417,XDG65D,Diamond Dagger Threaded Stud,Yellow Gold,LEFT,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
19412,XDG65D,Diamond Dagger Threaded Stud,Black Gold,RIGHT,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
19414,XDG65D,Diamond Dagger Threaded Stud,Rose Gold,RIGHT,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
19416,XDG65D,Diamond Dagger Threaded Stud,White Gold,RIGHT,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
19418,XDG65D,Diamond Dagger Threaded Stud,Yellow Gold,RIGHT,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
40520,XDG65DOP,Opal and Diamond Dagger Threaded Stud,Black Gold,,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
