SKU,Product Name,4,542,424,13,14,15,16,18,17,19,575,576,54,55,50,407,540,520,51,49,53,532,547,417,419,418,420,437
ZSC2PKD,2mm Pink Diamond Scalloped Set Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC2PD,2mm Purple Diamond Scalloped Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC2D,2mm Diamond Scalloped Set Frontal only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC2BKD,2mm Black Diamond Scalloped Frontal only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC2BD,2mm Blue Diamond Scalloped Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC25D,2.5mm Diamond Scalloped Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC25BKD,2.5mm Black Diamond Scalloped Set Frontal only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC15PKD,1.5mm Pink Diamond Scalloped Set Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC15PD,1.5mm Scalloped Purple Diamond (Frontal Only)',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC15D,1.5mm Diamond Scalloped Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC15BKD,1.5mm Black Diamond Scalloped Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC15BD,1.5mm Blue Diamond Scalloped Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZSC12D,1.2mm Diamond Scalloped Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZPEAR,Gold Pear Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZPE725D,7mm Pear Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZPE625D,6mm Pear Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZPAISRD,Diamond Paisley (Right) Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZPAISLD,Diamond Paisley (Left) Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZPAISLBD,Blue Diamond Paisley (Left) Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZPACD,Diamond Micropave Open Circle Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZP6CZ,6mm Prong Set Cubic Zirconia Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZP4CZ,4mm Prong Set Cubic Zirconia Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZP3CZ,3mm Prong Set Cubic Zirconia Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZP2CZ,2mm Prong Set Cubic Zirconia Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZMTTPS,Pink Sapphire and Diamond MT Tiara Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZMTTDOP,Opal and Diamond MT Tiara Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZMTTD,Diamond MT Tiara Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZMQ725D,7mm Marquise Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZMQ625D,6mm by 3mm Marquise Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZMNSPAD,Small Diamond Moon (Frontal Only)',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZMNPAD,Diamond Moon (Frontal Only)',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZLOTEGD625D,6mm Engraved Diamond Lotus with Dangle (Frontal Only)',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZLOTEG615D,6mm Engraved Diamond Lotus (Frontal Only)',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZLOTD625D,6mm Diamond Lotus with Dangle (Frontal Only)',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZLOT615D,18K Diamond Lotus Design Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZLB11D,11mm Diamond Lightning Bolt Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZLB11BKD,11mm Black Diamond Lightning Bolt Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIVFL85D,8.5mm Invisible Set Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIVFL6D,6mm Invisible Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIVD32D,3mm-2mm Invisible Set Diamond Dangle Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIVD215D,2mm-1.5mm Invisible Set Diamond Dangle (Frontal Only)',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIV5D,5.2mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIV4D,4.1mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIV47D,4.7mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIV3PKD,3mm Invisible Set Pink Diamond (Frontal Only)',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV3D,3mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV3BD,3mm Blue Diamond Invisible Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV38D,3.8mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIV35D,3.5mm Invisible Set Diamond (Frontal Only)',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV2PKD,2mm Invisible Set Pink Diamond Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV2PD,2mm Invisible Set Purple Diamond (Frontal Only)',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV2D,2mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV2BD,2mm Invisible Set Blue Diamond Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV25PD,2.5mm Purple Diamond Invisible Set Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV25D,2.5mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV25BD,2.5mm Invisible Set Blue Diamond Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZIV15PKD,1.5mm Invisible Set Pink Diamond (Frontal Only)',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIV15D,1.5mm Invisible Set Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZIV15BD,1.5mm Invisible Set Blue Diamond Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZHEART,Gold Heart Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZG5OP,Five Opal Garland Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZG3TQ,2.75mm Turquoise Starburst Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZG3RB,2.75mm Ruby Starburst Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZG3PS,2.75mm Pink Sapphire Starburst Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZG3OP,2.75mm Opal Starburst Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZG3CZ,2.75mm Cubic Zirconia Starburst Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZG3BS,2.75mm Blue Sapphire Starburst Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZFLPED,Pear Diamond Flower Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFLD75OP,7.5mm Opal Flower with Diamond Center Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFLD65OP,6.5mm Opal Dia Flower Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFLD5OP,5mm Opal Flower with Diamond Center Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFLD55D,5.5mm Diamond Flower with Dangle Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFLD45D,4.5mm Diamond Flower Frontal Only with Dangle',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL7PKD,7mm Pink Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL7PD,7mm Purple Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL7DPE,7mm Pearl Flower with Diamond Center Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL7D,7mm Diamond Flower Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL7BD,7mm Blue Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL55PKD,5.5mm Pink Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL55PD,5.5mm Rose-Purple Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL55D,5.5mm Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL55CZ,5.5mm Cubic Zirconia Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL55BKD,5.5mm Black Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL55BD,5.5mm Sky Blue Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZFL45PKD,4.5mm Pink Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZFL45PD,4.5mm Rose-Purple Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZFL45D,4.5mm Diamond Flower Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZFL45CZ,4.5mm Cubic Zirconia Flower Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZFL45BKD,4.5mm Black Diamond Flower Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZFL45BD,4.5mm Sky Blue Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZFL3D,3mm Diamond Flower Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZDS5DOP,Opal and Diamond Small Sword Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDS5D,Diamond Small Sword Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDM25,2.5mm Dome Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZDM2,2mm Dome Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZDM15,1.5mm Dome Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
